service_id,date,exception_type
SU,20150712,1
SU,20150713,2
SU,20150714,2
SU,20150715,2
SU,20150716,2
SU,20150717,2
SU,20150718,2
SU,20150719,1
SU,20150720,2
SU,20150721,2
SU,20150722,2
SU,20150723,2
SU,20150724,2
SU,20150725,2
SU,20150726,1
SU,20150727,2
SU,20150728,2
SU,20150729,2
SU,20150730,2
SU,20150731,2
SU,20150801,2
SU,20150802,1
SU,20150803,2
SU,20150804,2
SU,20150805,2
SU,20150806,2
SU,20150807,2
SU,20150808,2
SU,20150809,1
SU,20150810,2
SU,20150811,2
SU,20150812,2
SU,20150813,2
SU,20150814,2
SU,20150815,2
WK,20150510,2
WK,20150511,1
WK,20150512,1
WK,20150513,1
WK,20150514,1
WK,20150515,1
WK,20150516,2
WK,20150517,2
WK,20150518,1
WK,20150519,1
WK,20150520,1
WK,20150521,1
WK,20150522,1
WK,20150523,2
WK,20150524,2
WK,20150525,2
WK,20150526,1
WK,20150527,1
WK,20150528,1
WK,20150529,1
WK,20150530,2
WK,20150531,2
WK,20150601,1
WK,20150602,1
WK,20150603,1
WK,20150604,1
WK,20150605,1
WK,20150606,2
WK,20150607,2
WK,20150608,1
WK,20150609,1
WK,20150610,1
WK,20150611,1
WK,20150612,1
WK,20150613,2
WK,20150614,2
WK,20150615,1
WK,20150616,1
WK,20150617,1
WK,20150618,1
WK,20150619,1
WK,20150620,2
WK,20150621,2
WK,20150622,1
WK,20150623,1
WK,20150624,1
WK,20150625,1
WK,20150626,1
WK,20150627,2
WK,20150628,2
WK,20150629,1
WK,20150630,1
WK,20150701,1
WK,20150702,1
WK,20150703,2
WK,20150704,2
WK,20150705,2
WK,20150706,1
WK,20150707,1
WK,20150708,1
WK,20150709,1
WK,20150710,1
WK,20150711,2
WK,20150712,2
WK,20150713,1
WK,20150714,1
WK,20150715,1
WK,20150716,1
WK,20150717,1
WK,20150718,2
WK,20150719,2
WK,20150720,1
WK,20150721,1
WK,20150722,1
WK,20150723,1
WK,20150724,1
WK,20150725,2
WK,20150726,2
WK,20150727,1
WK,20150728,1
WK,20150729,1
WK,20150730,1
WK,20150731,1
WK,20150801,2
WK,20150802,2
WK,20150803,1
WK,20150804,1
WK,20150805,1
WK,20150806,1
WK,20150807,1
WK,20150808,2
WK,20150809,2
WK,20150810,1
WK,20150811,1
WK,20150812,1
WK,20150813,1
WK,20150814,1
WK,20150815,2
